CS,BZO,BZO_ratio,Total_GSL,C3ratio_emmeans,Alk_emmeans,OH_emmeans,MSO_emmeans,GSOH_emmeans,lc,sc,GSOX_emmeans,Alk_OH_ratio,Ref,AOP,MAM,GSOH,Key,Classification,Classification_name,PC1,PC2,PC3,PC4,PC5,PC6,Name,Country,Lat,Long
CS78833,0.006570257,0.258351526,0.025431462,0.955797484,0.057343851,0.784902389,-0.001661618,0.938110008,0.390942488,0.340532174,0.159415378,0.073058577,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.388499098,1.851912343,-0.052036971,0.62104027,-0.385535649,1.07E-15,IP-Vas-0,ESP,40.95,-3.31
CS78835,0.003439622,0.118870601,0.028935851,0.044828429,0.512479016,0.141695202,9.22E-05,0.39379374,0.539651727,0.308711708,0.345733539,3.616770427,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.490605702,-1.072129948,0.844913019,1.14423573,-0.402017636,-3.50E-15,IP-Vav-0,POR,38.53,-8.02
CS78836,0.000982647,0.038778995,0.025339672,1.001217027,0.780991457,0.262489089,-0.005442207,0.938110008,0.823823966,0.104348155,-0.03803834,2.975329222,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.170560767,-1.264689196,-0.287319469,-0.586316063,0.349842394,2.22E-16,IP-Vaz-0,ESP,42.26,-2.99
CS78837,0.001023756,0.034634812,0.029558584,0.999947206,0.752446209,0.235710258,0.000220823,0.937946456,0.818715908,0.126240418,0.011622709,3.192250583,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.946717771,-1.146195087,-0.239180626,-0.620171005,0.471159936,2.22E-16,IP-Vdm-0,ESP,42.04,1.01
CS78838,0.001616462,0.08004369,0.020194746,0.979456768,0.532810118,0.412416804,0.000230946,1.017526008,0.738949573,0.176676596,0.054542132,1.291921456,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-1.093028823,-0.135913344,-0.3931856,-0.352782719,0.172428174,1.17E-15,IP-Vdt-0,ESP,40.89,-5.5
CS78839,0.001386477,0.070613773,0.019634654,0.034701552,-0.002697399,0.041182376,0.025275045,0.937946456,0.390825475,0.536209599,0.936239978,-0.06549887,Accession,MSO,C4,NF,C4_MSO_NF,12,4MSO,3.503439268,1.392241492,-0.429708207,0.946150246,0.777792709,0,VED-10,FRA,43.74,3.89
CS78840,0.001477438,0.049001446,0.030150906,0.982713142,0.40328978,0.477631365,0.000372626,0.937946456,0.845589945,0.073342174,0.118706228,0.844353637,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.017541529,0.346454856,-0.145405389,-0.007906783,0.17253387,8.05E-16,IP-Ven-0,ESP,40.76,-4.01
CS78841,0.001841104,0.080214011,0.022952399,0.22464256,0.452796521,0.182615649,0.000214056,0.926480847,0.743120314,0.167715017,0.364373775,2.479505585,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.211323686,-0.333473477,-0.529061494,0.376514539,-0.135987529,0,IP-Ver-5,ESP,41.95,-7.45
CS78842,0.002114697,0.122063532,0.01732456,0.026365816,0.55570759,0.123542311,0.000132849,0.625350886,0.492555364,0.35802,0.32061725,4.498115561,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.464821403,-1.079940805,0.195415464,0.734555156,-0.449623437,-1.67E-15,IP-Vid-1,POR,38.22,-7.84
CS78843,0.002374245,0.151385859,0.0156834,0.999913783,0.406629198,0.523504085,0.000360625,0.937946456,0.697990802,0.145690475,0.069506093,0.776745034,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.259055331,0.367209553,-0.120217875,-0.036345799,0.022262837,6.66E-16,IP-Vig-1,ESP,42.31,-2.53
